"species","decimalLatitude","decimalLongitude","wc2.1_2.5m_bio_1","wc2.1_2.5m_bio_2","wc2.1_2.5m_bio_5","wc2.1_2.5m_bio_9","wc2.1_2.5m_bio_12","wc2.1_2.5m_bio_15","wc2.1_2.5m_bio_19","wc2.1_2.5m_elev"
"Diaphorina citri",25.64793,-100.264228,21.9291667938232,14.0409994125366,34.3600006103516,16.9379997253418,685,82.2196807861328,57,590
"Diaphorina citri",21.287304,-157.805841,24.560417175293,7.89212942123413,30.4500007629395,26.0638885498047,964,34.3636322021484,294,34
"Diaphorina citri",25.398521,-100.135168,21.1308326721191,13.2536668777466,33.4599990844727,14.3486661911011,960,83.7969818115234,69,530
"Diaphorina citri",34.122036,-118.00441,18.7035007476807,14.157000541687,32.2120018005371,23.7159996032715,404,101.639831542969,232,106
"Diaphorina citri",34.040808,-118.451614,17.7148323059082,10.103666305542,26.3519992828369,20.6240005493164,333,102.251670837402,194,42
"Diaphorina citri",22.157055,-100.986525,17.7469997406006,14.9233331680298,29.496000289917,15.1459999084473,377,71.70263671875,34,1874
"Diaphorina citri",20.357939,-89.473557,25.6865005493164,14.845666885376,36.7999992370605,23.7153339385986,1119,69.4175643920898,94,35
"Diaphorina citri",34.018458,-118.296263,18.7040004730225,12.210000038147,29.6000003814697,22.5286674499512,359,100.780052185059,208,51
"Diaphorina citri",33.952117,-117.263997,17.7058334350586,16.7656669616699,35.0279998779297,23.9853324890137,352,92.3112564086914,190,510
"Diaphorina citri",33.865806,-118.293589,18.2154998779297,11.0769996643066,28.0400009155273,21.7493343353271,325,102.005767822266,190,20
"Diaphorina citri",18.015401,-63.098572,26.8191661834717,5.90833282470703,31.0799999237061,25.796667098999,1013,37.2046203613281,155,9
"Diaphorina citri",34.152769,-117.62844,16.9933338165283,15.1613330841064,32.9440002441406,23.0386657714844,383,91.547607421875,203,582
"Diaphorina citri",26.267125,-80.188308,24.1315002441406,9.16166687011719,32.7999992370605,19.7299995422363,1552,44.3185081481934,203,9
"Diaphorina citri",34.339593,-119.081242,16.6921672821045,14.1230001449585,28.9120006561279,20.4693336486816,409,106.48046875,243,113
"Diaphorina citri",25.745503,-100.309699,22.453332901001,14.3633337020874,35.0439987182617,17.3626670837402,628,78.8608551025391,57,531
"Diaphorina citri",34.227333,-119.131097,16.818000793457,12.5419998168945,26.492000579834,19.7446670532227,351,105.78630065918,208,27
"Diaphorina citri",22.971877,120.224253,24.1138324737549,7.28233337402344,32.076000213623,19.7600002288818,2348,100.976432800293,108,24
"Diaphorina citri",34.166262,-117.100058,15.3371667861938,15.2103328704834,32.5439987182617,22.2706661224365,434,79.0935974121094,210,1030
"Diaphorina citri",32.562642,-116.868416,17.3274993896484,13.6923332214355,30.996000289917,22.2453327178955,375,87.5747604370117,192,448
"Diaphorina citri",28.352966,-82.658017,22.0301666259766,11.7043333053589,33.0040016174316,19.7693328857422,1335,47.868034362793,241,14
